lon,lat,name,type
9.187827,45.464767,Caffè Mercanti,cafe
9.196164,45.465927,Antica cremeria San Paolo al corso,cafe
9.197618,45.46365,Bar Durini,cafe
9.198342,45.465574,Bar Erri,cafe
9.197938,45.463541,Bar SI,cafe
9.198391,45.463441,L'albero del pepe,restaurant
9.198341,45.465467,Panini Durini,cafe
9.198344,45.465372,Ristorante Cocopazzo,restaurant
9.198028,45.464245,Unknown name,cafe
9.183359,45.467556,Fresco,restaurant
9.184588,45.46661,Bar gelateria La voglia,ice cream
9.183573,45.461101,Cioccolati Italiani,ice cream
9.182993,45.460814,Alice pizza,fast food
9.180517,45.460061,Fruteiro,cafe
9.183059,45.471972,Fruteiro,cafe
9.184866,45.46102,12oz coffee,cafe
9.186681,45.463039,Bar Beltrade,cafe
9.186319,45.462866,Exki,fast food
9.186267,45.462909,Magnum,cafe
9.186738,45.462999,Spaccio agricolo con degustazione,restaurant
9.184659,45.460922,Eatme&Go,cafe
9.18187,45.460651,McDonald's,fast food
9.183493,45.460665,Hawaii Poke,restaurant
9.188683,45.466385,Bar Freetime,cafe
9.193047,45.464516,Unknown name,cafe
9.192819,45.46279,Santa Tecla,bar
9.175332,45.465677,Gelato libre,ice cream
9.181165,45.465758,Krem,ice cream
9.181908,45.465672,Meravigli 13,cafe
9.206108,45.475095,Unknown name,cafe
9.190851,45.465211,Fresco & Cimmino,restaurant
9.181846,45.483618,Da Martino 1950,restaurant
9.181277,45.483936,Myke My Kitchen,restaurant
9.18176,45.483019,Tang Court Barbecue,restaurant
9.181565,45.483575,Da Franco,restaurant
9.181792,45.483221,Jasmin Orange,restaurant
9.18292,45.483381,Mics,restaurant
9.18177,45.483128,Mitsui,restaurant
9.18214,45.483898,Mythos,restaurant
9.181878,45.483715,You Yi,restaurant
9.182366,45.483896,Pizzeria La Maria,fast food
9.180311,45.483517,Ceresio 7,bar
9.183606,45.479466,Pescetto,restaurant
9.200426,45.466905,Alchimie,ice cream
9.187167,45.463412,Peck,cafe
9.188733,45.48067,Curò Ristorante,restaurant
9.18989,45.481351,Basic Cafè,cafe
9.18896,45.480908,Sciatt a Porter,restaurant
9.192686,45.480771,La Filetteria Italiana,restaurant
9.192739,45.481024,Volemose bene,restaurant
9.193499,45.480707,Marco Polo Bar,cafe
9.184276,45.466523,Rom'antica,fast food
9.183066,45.474021,Dolcevita,ice cream
9.189639,45.482919,Bar Atlantic,cafe
9.199785,45.464133,El café di Milano,cafe
9.172837,45.483075,Pupurry,restaurant
9.196575,45.46373,Bianchi Cafè & Cycles,cafe
9.191409,45.465583,McDonald's,fast food
9.183826,45.473775,Tramé,fast food
9.184396,45.471115,Riva Reno,ice cream
9.186729,45.472064,Sushi-B,restaurant
9.181053,45.468557,Serendipico,restaurant
9.198448,45.46835,Bar Martini,cafe
9.184775,45.48221,Pescaria,fast food
9.180824,45.461497,Hats Off,cafe
9.180841,45.456033,Pretto Gelato Arte Italiana,ice cream
9.183327,45.461108,Nerino Dieci Trattoria,restaurant
9.197215,45.4554,Pizza AM,restaurant
9.197394,45.481616,Hosteria La Cadrega,restaurant
9.199014,45.481132,Metropolis,bar
9.196737,45.481741,Unknown name,cafe
9.194426,45.481802,Ristorante Berton,restaurant
9.179929,45.454207,Unknown name,cafe
9.180273,45.453629,Unknown name,cafe
9.178844,45.455126,Unknown name,cafe
9.192144,45.465389,Manuelina,cafe
9.197173,45.455063,Palo Alto Café,bar
9.159978,45.471048,Le Magie,cafe
9.190159,45.466101,Il salotto di Milano,cafe
9.190644,45.465513,La Locanda del Gatto Rosso,restaurant
9.177902,45.468227,Sloan Square,bar
9.19461,45.469761,Il Salumaio di Montenapoleone,restaurant
9.188599,45.478992,Zaza Ramen,restaurant
9.18779,45.479973,Full 80,cafe
9.188096,45.478348,Marsaladue,cafe
9.188603,45.479936,Bar White,cafe
9.188318,45.478092,Ristorante Solferino,restaurant
9.188002,45.478158,La Briciola,restaurant
9.18861,45.479542,Meatbar,restaurant
9.187933,45.478392,La briciola mare,restaurant
9.188674,45.479676,Universo Vegano,fast food
9.188192,45.478451,Wasabi,restaurant
9.17647,45.451967,I Mas!,bar
9.176388,45.451943,Manhattan,bar
9.179921,45.453164,Ricette tricolori,restaurant
9.193336,45.480228,Ristorante La bisBistecca,restaurant
9.195137,45.475806,Kisen,restaurant
9.194926,45.47563,Unknown name,restaurant
9.202825,45.462134,Bar Garden,cafe
9.192752,45.465528,Ristorante Agnello,restaurant
9.193374,45.465037,Royal Restaurant,restaurant
9.191052,45.465913,Unknown name,restaurant
9.182693,45.478281,Bar Granny,cafe
9.182611,45.477946,Coffee Palace,cafe
9.17239,45.476506,Bon Thon Bistrot,cafe
9.171943,45.47643,Taglialà,fast food
9.181255,45.466486,Andry Bistrot,restaurant
9.18113,45.46673,Petit Bistrot,cafe
9.183331,45.466462,Riso e Latte,restaurant
9.194534,45.461257,Arcibaldo Bar,cafe
9.194024,45.46208,News cafè,cafe
9.194457,45.461332,Unknown name,ice cream
9.174628,45.451582,I Pesciolini,restaurant
9.174691,45.481921,Yanyu,restaurant
9.189981,45.45745,ABBA,cafe
9.189677,45.457399,Noir Cafè,cafe
9.205528,45.476835,Viveca,restaurant
9.20543,45.476729,Mosobna,restaurant
9.20503,45.476854,Bar Hiwinet,cafe
9.205611,45.47673,Caffè Venezia,cafe
9.181566,45.459139,Chipstar Amsterdam,fast food
9.170126,45.453803,Amor di patata,fast food
9.183602,45.455578,Migjorn Cafè,cafe
9.18096,45.456853,Burger Wave,fast food
